main path	classification	rewrite mapping	status	notes
modules/hosts/steamdeck/emeraldecho/_host/runtime.nix	modules/hosts/emeraldecho/host/_steamos-library-content.nix	audited	ported	SteamOS library mount reconciliation is retained byte-for-byte in behavior.
modules/hosts/steamdeck/emeraldecho/_host/variants.nix	modules/hosts/emeraldecho/host/_content.nix; modules/hosts/emeraldecho/host/_bootstrap-content.nix; modules/hosts/emeraldecho/host/_installer-content.nix; modules/hosts/emeraldecho/host/host.nix; modules/platforms/steamdeck/_steamdeck/boot-modes	audited	ported	Dual, single, bootstrap, and installer outputs are all preserved; single/dual boot-mode payloads are reusable Steam Deck platform modules.
modules/hosts/steamdeck/exports.nix	modules/platforms/steamdeck/steamdeck.nix; modules/hosts/emeraldecho/*.nix	intentional broadcast architecture	Import-tree discovery replaces export aggregation.
modules/hosts/steamdeck/steamdeck.nix	modules/platforms/steamdeck/steamdeck.nix	audited	ported	Jovian input and gated Steam Deck platform import match.
modules/hosts/wsl/_descriptor-helpers.nix	modules/hosts/nixos-wsl/host/{host,_content}.nix	intentional broadcast architecture	The one WSL output registers explicit host facts through private host content rather than a descriptor helper.
modules/hosts/wsl/_registration-builder.nix	modules/hosts/nixos-wsl/host/host.nix	intentional broadcast architecture	Direct configuration registration replaces the generic x86 output builder.
modules/hosts/wsl/exports.nix	modules/hosts/nixos-wsl/host/host.nix	intentional broadcast architecture	Import-tree discovery replaces exported host module aggregation.
modules/hosts/wsl/nixos-wsl/_nixos-wsl/host-data.nix	modules/hosts/nixos-wsl/host/_content.nix	audited	ported	WSL platform, workstation role, local-only deployment, and nix-ld are represented in private host content.
modules/hosts/wsl/nixos-wsl/_nixos-wsl/host.nix	modules/platforms/wsl/nixos-wsl/{nixos-wsl,_content}.nix; modules/hosts/nixos-wsl/{host,users,system}/*.nix	audited	ported	WSL integration and normal-user setup are retained; the work account intentionally uses ssorensen with display name Sam.
modules/hosts/wsl/wsl.nix	modules/hosts/nixos-wsl/host/host.nix	intentional broadcast architecture	The explicit lower-case configuration replaces descriptor iteration.
modules/lib/_shared/deploy.nix	modules/tooling/deployment/deployment.nix	audited	ported	Service-role expansion is no longer needed by direct host deployment facts; Atlas builder protocol, capacities, and deployment policy are retained.
modules/lib/_shared/host-context-options.nix	modules/system/host-context/host-context.nix	intentional broadcast architecture	The broadcast context uses host platform/features/services directly, replacing descriptor-facing options and derived role aliases.
modules/lib/_shared/secret-wrap-args.nix	modules/services/*/*.nix	audited	ported	Service modules generate equivalent secret environment wrappers at their point of use.
modules/lib/_shared/site.nix	modules/system/base/base.nix; modules/system/local-dns/local-dns.nix; modules/services/*/*.nix	audited	ported	Domain, network topology, and Atlas builder facts are consumed directly by their owning modules.
modules/lib/_shared/syncthing-common-options.nix	modules/services/syncthing/syncthing.nix	audited	ported	TCP-only, QUIC-disabled, local announce, reporting, and crash-reporting settings match.
modules/lib/_shared/write-source-replacement-script.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/_write-source-replacement-script.nix	audited	ported	The same checked replacement-script implementation is used by Decky package patches.
modules/lib/shared.nix	modules/system/host-context/host-context.nix; modules/tooling/deployment/deployment.nix; modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/_write-source-replacement-script.nix	intentional broadcast architecture	Small helpers are colocated with consumers instead of exported through one shared lib namespace.
modules/network/local-dns/static-records.nix	modules/system/local-dns/local-dns.nix	audited	ported	Infrastructure records and system-lifecycle DNS publications match; a fixed publisher list replaces inventory-derived output traversal.
modules/nix/cross-compile/cross-compile.nix	broadcast builder feature	modules/tooling/cross-compile/cross-compile.nix	rewrite validated	Same aarch64 binfmt emulation for builder hosts.
modules/nix/flake-parts/_configuration-constructors.nix	host output framework	modules/hosts/*/host.nix	intentional broadcast architecture	Explicit host output declarations replace generic configuration constructors while preserving all evaluated configuration outputs.
modules/nix/flake-parts/_host-output-helpers.nix	host output framework	modules/hosts/*/host.nix	intentional broadcast architecture	Explicit host outputs replace descriptor resolution helpers.
modules/nix/flake-parts/_host-outputs.nix	host output framework	modules/hosts/*/host.nix	intentional broadcast architecture	Host checks/packages are declared by each broadcast host module rather than generated from an inventory descriptor list.
modules/nix/flake-parts/_inventory-constructors.nix	host inventory framework	modules/system/host-context/host-context.nix; modules/hosts/*/host.nix	intentional broadcast architecture	Host facts and deployment topology live in the shared schema and per-host declarations instead of a separate inventory record.
modules/nix/flake-parts/_output-constructors.nix	host output framework	modules/hosts/*/host.nix	intentional broadcast architecture	Explicit configuration definitions replace helper-generated outputs.
modules/nix/flake-parts/lib.nix	flake helper registry	modules/dendritic/dendritic.nix; modules/system/host-context/host-context.nix	intentional broadcast architecture	The rewrite eliminates the generic inventory/lib registry in favor of self-gated modules and explicit host outputs.
modules/nix/tools/determinate/_determinate.nix	feature-gated Determinate module	modules/system/nix/determinate/_content.nix	intentional adaptation	The upstream module is retained and enabled by default through the host feature, with an opt-out fact and the requested issue/PR warning.
modules/nix/tools/determinate/determinate.nix	flake-input wrapper	modules/system/nix/determinate/determinate.nix	rewrite adapted	The Determinate input is colocated with its module and follows the temporary nix-src ssh-ng fix branch.
modules/nix/tools/disko/_disko.nix	flake-input payload	modules/system/nix/disko/_content.nix	rewrite validated	Same disko NixOS module import.
modules/nix/tools/disko/disko.nix	flake-input wrapper	modules/system/nix/disko/disko.nix	rewrite validated	Same disko input declaration and conditional private import.
modules/nix/tools/formatter/_formatter.nix	flake-input payload	modules/tooling/nix/formatter/_content.nix	rewrite validated	Same treefmt integration and nixfmt formatter output.
modules/nix/tools/formatter/formatter.nix	flake-input wrapper	modules/tooling/nix/formatter/formatter.nix	rewrite validated	Same treefmt input and delayed import pattern.
modules/nix/tools/home-manager/_home-manager.nix	NixOS/Home Manager bridge	modules/system/nix/home-manager/_content.nix	intentional broadcast architecture	The same NixOS Home Manager bridge, package policy, backups, and flake inputs are retained; host context is supplied directly by broadcast modules rather than a separate inventory special argument.
modules/nix/tools/home-manager/home-manager.nix	flake-input wrapper	modules/system/nix/home-manager/home-manager.nix	rewrite validated	Same Home Manager input and conditional private import.
modules/nix/tools/impermanence/_impermanence.nix	feature-gated persistence payload	modules/features/impermanence/_content.nix	intentional safety adaptation	The provider remains imported, while baseline persistence is enabled only by the host feature; globally enabling main’s legacy defaults now triggers the upstream removed allowOther option.
modules/nix/tools/impermanence/_minimum.nix	minimum persistence payload	modules/features/impermanence/_content.nix	intentional safety adaptation	The same baseline directories, machine ID, home persistence root, and fuse policy are retained behind the explicit impermanence feature.
modules/nix/tools/impermanence/impermanence.nix	flake-input wrapper	modules/features/impermanence/impermanence.nix	rewrite validated	Same impermanence input declaration and delayed private import.
modules/nix/tools/nix-index/_nix-index.nix	NixOS/Home Manager payload	modules/tooling/nix/nix-index/_content.nix	rewrite validated	Same prebuilt index, shell integrations, comma package, and command-not-found policy.
modules/nix/tools/nix-index/nix-index.nix	flake-input wrapper	modules/tooling/nix/nix-index/nix-index.nix	rewrite validated	Same nix-index database input and delayed import.
modules/nix/tools/pkgs-by-name/_pkgs-by-name.nix	local package overlay	packages/_packages.nix; modules/dendritic/dendritic.nix	intentional broadcast architecture	Local package/export overlay construction is integrated into the rewrite’s dendritic package framework.
modules/nix/tools/pkgs-by-name/pkgs-by-name.nix	local package input wrapper	packages/_packages.nix; modules/dendritic/dendritic.nix	intentional broadcast architecture	The rewrite’s package registry replaces the pkgs-by-name-for-flake-parts adapter while retaining local overlays and package outputs.
modules/nix/tools/secrets/_secrets.nix	NixOS/Home Manager secrets payload	modules/system/nix/secrets/_content.nix; modules/home/sops/_content.nix	intentional broadcast architecture	NixOS SOPS setup and scoped credentials are retained; Home Manager SOPS setup is split into the home-sops broadcast module, including the Sam token secrets on native and RPi homes.
modules/nix/tools/secrets/secrets.nix	flake-input wrapper	modules/system/nix/secrets/secrets.nix	rewrite validated	Same sops-nix and private secrets input declarations.
modules/programs/appimage/appimage.nix	broadcast feature wrapper	modules/features/appimage/appimage.nix	rewrite validated	Same AppImage integration and FUSE support are provided by the host-gated broadcast feature.
modules/programs/armory/_armory.nix	content wrapper plus broadcast gate	modules/features/armory/_content.nix	rewrite ported	Restored the full proven Armory derivation, including runtime wrapper and legacy Python dependency wiring; the rewrite adds only the host feature gate.
modules/programs/armory/armory.nix	flake-input wrapper	modules/features/armory/armory.nix	rewrite validated	Same pinned runtime nixpkgs input and conditional private import.
modules/programs/beets/beets.nix	reviewed	modules/features/beets/beets.nix; modules/features/beets/_content.nix	adapted	Beets installation and configuration are owned solely by the rewrite's Beets module.
modules/programs/beets/config.yaml	modules/features/beets/assets/config.yaml	Byte comparison	validated	Configuration asset matches main.
modules/programs/beets/plugins/demlo_compat.py	modules/features/beets/assets/plugins/demlo_compat.py	Byte comparison	validated	Compatibility plugin matches main.
modules/programs/bitwarden/bitwarden.nix	broadcast feature wrapper	modules/features/bitwarden/bitwarden.nix; modules/features/bitwarden/{_nixos-content,_home-content}.nix	rewrite validated	Main's separate NixOS insecure-package allowance and Home Manager package payload are retained behind the broadcast feature wrapper.
modules/programs/browser/browser.nix	browser configuration module	modules/home/firefox/firefox.nix; modules/home/firefox/_content.nix	rewrite validated	The rewrite supplies the richer managed Firefox implementation behind the non-Steam-Deck GUI/home gate.
modules/programs/browser/impermanence.nix	browser persistence	modules/home/persistence/_content.nix	rewrite ported	Firefox, Chrome, and Chromium profile persistence is restored under the shared /persistent home tree; no current host enables impermanence yet.
modules/programs/cli-tools/generic.nix	consolidated tooling module	modules/tooling/cli-tools/cli-tools.nix	rewrite validated	Main’s common packages, local-flake maintenance tools, and GUI lease editor are retained; local-checkout tooling is gated by the broadcast deployment context and the lease-editor wrapper is private content.
modules/programs/cli-tools/nixos.nix	consolidated tooling module	modules/tooling/cli-tools/cli-tools.nix	rewrite validated	Main’s lshw, parted, and x86-only intel-gpu-tools payload is retained in the consolidated module.
modules/programs/demlo/_demlo-home.nix	reviewed	modules/features/demlo/_content.nix	adapted	Demlo Home Manager payload is owned by the rewrite's Demlo module.
modules/programs/demlo/_demlo.nix	reviewed	modules/features/demlo/_content.nix	adapted	Demlo package enablement is owned by the rewrite's Demlo module.
modules/programs/demlo/demlo.nix	reviewed	modules/features/demlo/demlo.nix	adapted	Demlo input wiring and activation are owned by the separate Demlo feature module; Atlas enables Beets and Demlo through separate host facts.
modules/programs/demlo/demlo/config.lua	modules/features/demlo/assets/config.lua	Mechanical content port	validated	Byte-identical to main.
modules/programs/demlo/demlo/scripts/10-tag-normalize.lua	modules/features/demlo/assets/scripts/10-tag-normalize.lua	Mechanical content port	validated	Byte-identical to main.
modules/programs/demlo/demlo/scripts/30-tag-case.lua	modules/features/demlo/assets/scripts/30-tag-case.lua	Mechanical content port	validated	Byte-identical to main.
modules/programs/demlo/demlo/scripts/60-path.lua	modules/features/demlo/assets/scripts/60-path.lua	Mechanical content port	validated	Byte-identical to main.
modules/programs/demlo/demlo/scripts/70-cover.lua	modules/features/demlo/assets/scripts/70-cover.lua	Mechanical content port	validated	Byte-identical to main.
modules/programs/deskflow/deskflow.nix	broadcast feature wrapper	modules/features/deskflow/deskflow.nix	rewrite validated	Same Deskflow package, service, and firewall behavior are host-gated.
modules/programs/flatpak/_flatpak.nix	flake-input content wrapper	modules/features/flatpak/_content.nix	rewrite validated	Same nix-flatpak import, Flathub source, packages, and portal configuration; only formatting differs.
modules/programs/flatpak/flatpak.nix	flake-input wrapper	modules/features/flatpak/flatpak.nix	rewrite validated	Same nix-flatpak input declaration and conditional private import.
modules/programs/kde/kde.nix	desktop aggregate	modules/features/desktop/desktop.nix	intentional broadcast architecture	The KDE/Plasma and X11 payload is consolidated into the desktop-session feature, the rewrite’s equivalent host fact.
modules/programs/minecraft/minecraft.nix	broadcast feature wrapper	modules/features/minecraft/minecraft.nix	rewrite validated	Same desktop tools and firewall rules, with the name distinguishing client tools from the separate server module.
modules/programs/noson/noson.nix	broadcast feature wrapper	modules/features/noson/noson.nix	rewrite validated	Same Noson package and firewall rule; preserved user changes remain untouched.
modules/programs/office/office.nix	broadcast feature wrapper	modules/features/office/office.nix; modules/features/office/_content.nix	rewrite validated	Main's Home Manager office-suite package payload is retained behind the broadcast feature bridge.
modules/programs/shell/impermanence.nix	shell persistence	modules/home/persistence/_content.nix	rewrite ported	Fish configuration and Bash history persistence are restored under the shared /persistent home tree by the self-gated home-persistence broadcast module; no current host enables impermanence yet.
modules/programs/shell/shell.nix	content wrapper	modules/home/bash/_content.nix	rewrite validated	Same Bash completion is retained alongside the intentional Fish-exec integration.
modules/programs/steam/steam.nix	broadcast feature wrapper	modules/features/steam/steam.nix	rewrite validated	Same Steam packages, cache, firewall, and program settings use the common unfree-package mechanism.
modules/programs/threedprinter/threedprinter.nix	broadcast feature wrapper	modules/features/threedprinter/threedprinter.nix	rewrite validated	Same 3D-printer packages and services are host-gated.
modules/programs/wine/wine.nix	broadcast feature wrapper	modules/features/wine/wine.nix	rewrite validated	Same Wine payload is retained, including the explicit 32-bit graphics package slot, plus the intentional Bottles/patool build workaround.
modules/secrets/secrets.nix	modules/system/nix/secrets/{secrets,_secrets}.nix	intentional broadcast architecture	The SOPS input and secret-root context are colocated in the feature module rather than split into context and assignment modules.
modules/secrets/system-secrets.nix	modules/system/nix/secrets/secrets.nix	audited	ported	The nix-secrets input is declared in the SOPS integration module.
modules/services/adguardhome/lease.template	reviewed	AdGuard Home removed	adapted	Legacy AdGuard template is intentionally absent after the Coredns migration.
modules/services/attic/attic.nix	reviewed	Source review	validated	Attic cache settings, bootstrap/push/post-build scripts, secret, proxy, and host gate are preserved; script structure is aligned with main while paths/options are supplied by the broadcast wrapper.
modules/services/atuin/atuin.nix	reviewed	Source review	validated	Atuin server settings and dedicated-host versus apex-path routing match.
modules/services/blocky/blocky.nix	Blocky DNS service	modules/services/blocky/blocky.nix	rewrite output validated	Naboo's rendered Blocky settings are byte-identical; activation is intentionally sourced from the broadcast host service fact.
modules/services/caddy/_caddy-service.nix	reviewed	Consolidated into caddy.nix	adapted	Caddy route rendering, plugin set, secret, firewall, log format, and service behavior are retained in the consolidated module.
modules/services/caddy/_fail2ban.nix	reviewed	Consolidated into caddy.nix	adapted	Fail2ban filters and Cloudflare ban/unban scripts match main's scope, request, and logging handling inside the consolidated broadcast module.
modules/services/caddy/caddy.nix	reviewed	Consolidated wrapper	adapted	Rewrite consolidates the two main implementation imports into one broadcast module.
modules/services/containers/watchtower/watchtower.nix	reviewed	Podman socket adaptation	adapted	Uses Podman's native socket to avoid Docker socket conflict; image and update behavior match.
modules/services/dhcp-coredns/collect_leases.py	DHCP lease collector	modules/services/dhcp-coredns/dhcp-coredns/assets/scripts/collect_leases.py	rewrite validated	Byte-identical helper script.
modules/services/dhcp-coredns/dhcp-coredns/dhcp-coredns.nix	DHCP, Kea, and CoreDNS stack	modules/services/dhcp-coredns/dhcp-coredns/dhcp-coredns.nix	rewrite output validated	Naboo's rendered CoreDNS configuration is byte-identical; option paths and static-record publication are intentional host-fact adaptations.
modules/services/dhcp-coredns/dhcp-failover.nix	DHCP failover monitor	modules/services/dhcp-failover/dhcp-failover.nix	rewrite reviewed	Failover script, timer, and health checks match; configuration is gated by the broadcast host service fact.
modules/services/dhcp-coredns/lease.template	reviewed	Lease editor schema	adapted	The rewrite validates the same lease shape without a standalone template asset.
modules/services/dhcp-coredns/leases_editor.py	modules/services/dhcp-coredns/dhcp-coredns/assets/scripts/leases_editor.py	Behavioral comparison	adapted	Rewrite retains legacy-shape import, reservation output, normalization, duplicate highlighting, validation, subnet usage, filtering, row reordering, and save behavior in a smaller implementation.
modules/services/dhcp-coredns/render_zone.py	CoreDNS zone renderer	modules/services/dhcp-coredns/dhcp-coredns/assets/scripts/render_zone.py	rewrite validated	Byte-identical helper script.
modules/services/frigate/frigate.nix	reviewed	Source review	validated	Dedicated-host listener, DNS, Caddy route, and assertions match.
modules/services/games/minecraft/minecraft.nix	reviewed	Atlas container source review	validated	Bedrock-connect, Java server, pinned plugins, mounts, ports, and aliases match.
modules/services/immich/immich.nix	reviewed	Source review	validated	Immich storage assertion, listener, DNS, proxy, and external-domain behavior match; both branches retain the same removed upstream database option.
modules/services/mealie/mealie.nix	Mealie recipe service	modules/services/mealie/mealie.nix	rewrite output validated	Atlas's evaluated Mealie settings, local PostgreSQL setup, listener/port, and Caddy route match main. Neither module overrides Mealie's upstream data directory.
modules/services/media/_arr/default.nix	reviewed	Shared ARR helper behavior is inlined per rewrite service	adapted	Each service retains the same Caddy route, service, user/group, and managed-service behavior without a shared helper layer.
modules/services/media/_defaults.nix	reviewed	Host context owns media defaults	validated	`my.media` defaults are declared centrally in `modules/system/host-context/host-context.nix`.
modules/services/media/_media-base.nix	reviewed	Host context owns media option schema	validated	Media paths, resolver list, identities, and UID uniqueness assertion are preserved in the centralized host context/media-network modules.
modules/services/media/_podman-network.nix	reviewed	Demand-gated network service	adapted	Same Podman network unit; rewrite enables it when a network consumer (Deluge or Watchtower) is selected rather than via a stack-wide boolean.
modules/services/media/airsonic/airsonic.nix	reviewed	Atlas container evaluated	validated	Airsonic container settings and its route match; global package/route ordering differs only from broader rewrite composition and input revisions.
modules/services/media/arr-sync/arr-sync.nix	reviewed	Atlas container evaluated	validated	Arr-sync container, secret ownership, and host networking match.
modules/services/media/bazarr/bazarr.nix	reviewed	Atlas service evaluated	validated	Bazarr and managed 4K service behavior match; package revision differs with nixpkgs input.
modules/services/media/deluge/deluge.nix	reviewed	Atlas containers evaluated	validated	Deluge, Gluetun, health checks, network dependency, mounts, and proxy route match.
modules/services/media/flaresolverr/flaresolverr.nix	reviewed	Atlas container evaluated	validated	Flaresolverr container settings match.
modules/services/media/gonic/gonic.nix	reviewed	Atlas service evaluated	validated	Gonic settings and proxy behavior match; only input-revision store paths differ.
modules/services/media/jellyfin/jellyfin.nix	reviewed	Atlas service evaluated	validated	Jellyfin service/transcoding settings and proxy behavior match; omitted empty assignments resolve to the same defaults.
modules/services/media/media-server.nix	reviewed	Broadcast host feature selection	adapted	Rewrite imports service modules globally and selects the same Atlas media stack through `my.host.services`, replacing the main aggregate module and enable defaults.
modules/services/media/ombi/ombi.nix	reviewed	Source review	validated	Same disabled-by-default Ombi proxy and service settings, gated by the host service fact.
modules/services/media/organizr/organizr.nix	reviewed	Atlas container evaluated	validated	Organizr container, resolver options, and proxy route match.
modules/services/media/plex/plex.nix	reviewed	Atlas container settings validated	validated	Plex, Tautulli, Kitana, DNS, and Caddy behavior match, including main's pinned Plex image.
modules/services/media/profilarr/profilarr.nix	reviewed	Atlas container evaluated	validated	Profilarr container, identity, and route behavior match.
modules/services/media/prowlarr/prowlarr.nix	reviewed	Atlas service evaluated	validated	Prowlarr settings and route match; package store path differs with nixpkgs input.
modules/services/media/radarr/radarr.nix	reviewed	Atlas service evaluated	validated	Radarr and managed 4K service behavior match; package revision differs with nixpkgs input.
modules/services/media/sonarr/sonarr.nix	reviewed	Atlas service evaluated	validated	Sonarr and managed 4K service behavior match; package store path differs with nixpkgs input.
modules/services/monitoring-stack.nix	reviewed	modules/services/monitoring/monitoring.nix; modules/services/monitoring/_dashboards-content.nix; modules/services/monitoring/_content.nix	validated	Monitoring dashboard payload is private again; Grafana/Prometheus, exporters, DNS, routes, and local/remote smartctl scrape jobs are preserved.
modules/services/netbird-proxy/netbird-proxy.nix	reviewed	intentionally retired	validated	The predecessor media-server import left netbird-proxy commented out, so it supplied no effective host behavior; the active NetBird server owns its public routes directly.
modules/services/netbird/netbird-client.nix	reviewed	Source review	validated	Client routing and firewall settings match.
modules/services/netbird/netbird-server.nix	reviewed	Source review	validated	Server, Pocket ID, relay, Caddy, secrets, and firewall configuration match.
modules/services/notifications/apprise/apprise.nix	reviewed	Atlas container evaluated	validated	Apprise container, account, persistent paths, DNS, and authenticated proxy match.
modules/services/notifications/gotify/gotify.nix	reviewed	Source review	validated	Gotify settings and path proxy match; rewrite uses current upstream environment option rather than the obsolete port alias.
modules/services/notifications/ntfy-sh/ntfy-sh.nix	reviewed	Source review	validated	ntfy settings, DNS publication, and proxy route match.
modules/services/printing/ankerctl.nix	reviewed	Atlas container evaluated	validated	Ankerctl container, persistent paths, firewall, DNS, and authenticated proxy match.
modules/services/printing/printing.nix	reviewed	Source review	adapted	Same workstation/non-handheld automatic printing and Avahi behavior; host facts replace the main module's explicit enable option.
modules/services/samba/samba.nix	reviewed	Source review	validated	Samba defaults, WSDD, firewall, and settings merge match.
modules/services/scrutiny/scrutiny.nix	reviewed	Source review	validated	Scrutiny settings, SMART tools, DNS, and authenticated proxy match.
modules/services/ssh/ssh.nix	reviewed	Restored deploy auto-enable	validated	SSH now retains server/RPi and deployment-account auto-enable behavior with SFTP disabled by default.
modules/services/syncthing-server/syncthing-server.nix	reviewed	Source review	validated	Atlas server and desktop Home Manager client topology/configuration match; both branches retain the same removed upstream Syncthing option.
modules/services/virtualisation/docker.nix	reviewed	Feature-gated runtime	adapted	Host docker feature replaces the legacy generic containers/manual gate.
modules/services/virtualisation/podman.nix	reviewed	Feature-gated runtime	adapted	Host podman feature preserves Podman DNS/firewall/backend behavior.
modules/services/xserver/xserver.nix	reviewed	Consolidated desktop feature	validated	X server enablement and video-driver list are preserved in the desktop feature.
modules/system/settings/audio/audio.nix	broadcast feature wrapper	modules/features/audio/audio.nix	rewrite validated	PipeWire, PulseAudio disablement, rtkit, and 32-bit ALSA configuration match main.
modules/system/settings/bluetooth/bluetooth.nix	broadcast feature wrapper	modules/features/bluetooth/bluetooth.nix	rewrite validated	Bluetooth enablement and boot power state match main.
modules/system/settings/bluetooth/impermanence.nix	Bluetooth persistence	modules/features/bluetooth/bluetooth.nix	rewrite ported	Bluetooth state is restored under /persistent when impermanence is enabled.
modules/system/settings/bootstrap/bootstrap-base.nix	host bootstrap variants	modules/hosts/*/host.nix	rewrite adapted	Bootstrap hosts use the common broadcast registry plus explicit tag and host facts; SSH and minimal operational defaults are supplied by self-gated modules.
modules/system/settings/bootstrap/bootstrap-enroll.nix	broadcast tooling module	modules/tooling/bootstrap-enroll/bootstrap-enroll.nix; modules/tooling/bootstrap-enroll/_content.nix	rewrite ported	The generated enrollment package, configurable instructions path, and /etc path assertion now live in the private payload while the public wrapper keeps only the bootstrap-tag gate.
modules/system/settings/deploy/deploy-builder-defaults.nix	consolidated deployment module	modules/tooling/deployment/deployment.nix	intentional broadcast architecture	The inventory-derived builder model is represented by the proved Atlas ssh-ng builder definition and feature-gated remote user policy.
modules/system/settings/deploy/deploy-defaults.nix	consolidated deployment module	modules/tooling/deployment/deployment.nix	rewrite validated	Remote build, remote-user, trusted-user, and nh defaults are provided by the common deployment module.
modules/system/settings/deploy/deploy-local-defaults.nix	deployment context	modules/tooling/deployment/deployment.nix; modules/hosts/*/host.nix	rewrite adapted	Hosts declare their checkout explicitly, allowing the shared nh wrapper to build the current host without hardcoding Zaphod.
modules/system/settings/firmware/firmware.nix	broadcast feature wrapper	modules/features/firmware/firmware.nix	rewrite validated	fwupd and firmware/unfree configuration match main.
modules/system/settings/host-context/host-context.nix	broadcast host facts	modules/system/host-context/host-context.nix	intentional broadcast architecture	The rewrite’s single fact schema replaces main’s nested host-context helpers while retaining derived form-factor and service predicates.
modules/system/settings/locale/locale.nix	broadcast system module	modules/system/locale/locale.nix	rewrite validated	Timezone, default locale, supported locales, and all extra locale settings match main.
modules/system/settings/nix-ld/nix-ld.nix	broadcast feature wrapper	modules/features/nix-ld/nix-ld.nix	rewrite validated	Same feature-gated nix-ld enablement.
modules/system/settings/nvidia/nvidia.nix	broadcast feature wrapper	modules/features/nvidia/nvidia.nix	rewrite validated	NVIDIA modules, PRIME sync, graphics, and unfree package policy match through the common unfree-name aggregation.
modules/system/settings/plymouth/plymouth.nix	broadcast system module	modules/system/plymouth/plymouth.nix	rewrite validated	Same cybernetic Plymouth theme and boot parameters, with the explicit max systemd-boot console mode added to prevent low-resolution firmware modes.
modules/system/settings/systemConstants/systemConstants.nix	secret-backed site data	modules/system/base/base.nix; modules/system/local-dns/local-dns.nix	rewrite adapted	Domain and network values are read where consumed instead of exposed through a global mutable constants option.
modules/system/settings/systemd-boot/systemd-boot.nix	host hardware boot configuration	modules/hosts/*/hardware.nix	intentional broadcast architecture	Systemd-boot enablement, mirrored ESP behavior, and host-specific console modes are expressed with each hardware layout; Atlas retains the mirrored /boot2 synchronization.
modules/system/settings/wayland/wayland.nix	broadcast system module	modules/home/wayland/wayland.nix	rewrite validated	Same GUI-gated NIXOS_OZONE_WL session variable.
modules/system/settings/work/system-work-dev.nix	WSL work profile	modules/hosts/nixos-wsl/system/{system,_content}.nix	rewrite validated	Work secrets, unfree/insecure compatibility, and Fish enablement are retained in the native WSL configuration.
modules/system/settings/wsl/_base-module.nix	WSL native configuration	modules/platforms/wsl/nixos-wsl/{nixos-wsl,_content}.nix; modules/hosts/nixos-wsl/{users,system}/*.nix	rewrite validated	Docker Desktop, interop, user group, nix-ld libraries, SSH firewall, and base packages are retained in private content.
modules/system/settings/wsl/_certs-module.nix	WSL native configuration	modules/hosts/nixos-wsl/system/_content.nix	rewrite validated	Corporate CA bundle, session/daemon certificate environment, sandbox paths, SOPS token, and trusted user settings are retained in private content.
modules/system/settings/wsl/wsl.nix	flake-input and WSL wrapper	modules/platforms/wsl/nixos-wsl/{nixos-wsl,_content}.nix; modules/hosts/nixos-wsl/host/host.nix	rewrite validated	Same NixOS-WSL/work-secrets input wiring and WSL module integration; both trees encounter the same upstream removed wsl.docker-native option when fully serializing wsl.
modules/system/settings/zsa/zsa.nix	broadcast feature wrapper	modules/features/zsa/zsa.nix	rewrite validated	Same keyboard support, Keymapp package, and unfree policy through the common unfree-name aggregation.
modules/system/system-types/1-system-minimal/homeManager/homeManager-minimal.nix	modules/home/home/home.nix	audited	ported	Home directory and 26.05 Home Manager compatibility baseline are retained.
modules/system/system-types/1-system-minimal/nixos/_nixos-minimal.nix	modules/system/base/base.nix; modules/tooling/{deployment,cli-tools}.nix	audited	ported	Nix defaults, Dvorak console, tmpfs, state-version guard, CLI baseline, token include, and deployment user policy are retained.
modules/system/system-types/1-system-minimal/nixos/nixos-minimal.nix	modules/system/base/base.nix	intentional broadcast architecture	Private wrapper is unnecessary because the concrete base module is import-tree private where appropriate.
modules/system/system-types/2-system-default/system-default.nix	modules/system/*/*.nix; modules/features/*/*.nix; modules/tooling/*/*.nix	intentional broadcast architecture	The prior import bundle is decomposed into global self-gating broadcast modules.
modules/system/system-types/3-system-cli/system-cli.nix	modules/system/base/base.nix; modules/home/home/home.nix	intentional broadcast architecture	CLI and home behavior are gated directly by host facts instead of a named profile layer.
modules/system/system-types/4-system-desktop/system-desktop.nix	modules/features/desktop/desktop.nix; modules/home/home/home.nix	intentional broadcast architecture	Desktop and graphical-home behavior are feature-gated rather than profile imported.
modules/system/system-types/5-system-workstation/system-workstation.nix	modules/features/{bitwarden,flatpak,office}.nix	audited	ported	Workstation Bitwarden, Flatpak, and Office behavior is retained through feature gates.
modules/users/_module-helpers.nix	modules/home/home/home.nix; modules/users/sam/{sam,_content}.nix; modules/hosts/*/users.nix	intentional broadcast architecture	User factories are replaced by a shared managed-home module, a shared Sam system account module, and host-owned non-Sam system accounts.
modules/users/sam/git.nix	modules/home/git/_content.nix	audited	ported	Personal and WSL signing-key variants, identity, and Git policy are retained through the shared Git payload with a host-specific identity path.
modules/users/sam/home-base.nix	modules/home/home/_content.nix	audited	ported	Sam's baseline packages and GUI package selection are retained.
modules/users/sam/home-personal.nix	modules/home/{atuin,gdrive,mcp}.nix	audited	ported	Atuin, Google Drive, and personal MCP behavior is feature-gated.
modules/users/sam/nixos-base.nix	modules/users/sam/{sam,_content}.nix; modules/home/fish/_content.nix	audited	ported	Sam display name and group are retained by the shared Sam account module, while system Fish enablement is restored by the shared home-fish broadcast module.
